2026-04-12 03:23:50.099 | INFO     | models.embedding.embedding_model:__init__:39 | Embedding model: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
2026-04-12 03:23:50.103 | INFO     | models.embedding.embedding_model:__init__:40 | Persist directory: D:\GEN_AI_PROJECTS\5_Report_Generator\data\embeddings
2026-04-12 03:23:50.105 | INFO     | models.embedding.embedding_model:load_dataset:52 | Loading dataset: D:\GEN_AI_PROJECTS\5_Report_Generator\data\raw\dataset_fixed.json
2026-04-12 03:23:50.135 | INFO     | models.embedding.embedding_model:load_dataset:60 | Loaded 12121 records
2026-04-12 03:23:50.135 | INFO     | models.embedding.embedding_model:load_dataset:52 | Loading dataset: D:\GEN_AI_PROJECTS\5_Report_Generator\data\raw\swarajdesk_survey_flattened.json
2026-04-12 03:23:50.176 | INFO     | models.embedding.embedding_model:load_dataset:60 | Loaded 6500 records
2026-04-12 03:23:50.177 | INFO     | models.embedding.embedding_model:build_all:197 | Creating survey documents...
2026-04-12 03:23:50.234 | INFO     | models.embedding.embedding_model:build_all:199 | Survey documents: 12121
2026-04-12 03:23:50.235 | INFO     | models.embedding.embedding_model:build_all:201 | Creating backend documents...
2026-04-12 03:23:50.266 | INFO     | models.embedding.embedding_model:build_all:203 | Backend documents: 6500
2026-04-12 03:23:50.267 | INFO     | models.embedding.embedding_model:build_collection:144 | Building collection 'survey_collection' with 12121 documents...
2026-04-12 03:25:15.291 | INFO     | models.embedding.embedding_model:__init__:39 | Embedding model: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
2026-04-12 03:25:15.291 | INFO     | models.embedding.embedding_model:__init__:40 | Persist directory: D:\GEN_AI_PROJECTS\5_Report_Generator\data\embeddings
2026-04-12 03:25:15.291 | INFO     | models.embedding.embedding_model:load_dataset:52 | Loading dataset: D:\GEN_AI_PROJECTS\5_Report_Generator\data\raw\dataset_fixed.json
2026-04-12 03:25:15.322 | INFO     | models.embedding.embedding_model:load_dataset:60 | Loaded 12121 records
2026-04-12 03:25:15.322 | INFO     | models.embedding.embedding_model:load_dataset:52 | Loading dataset: D:\GEN_AI_PROJECTS\5_Report_Generator\data\raw\swarajdesk_survey_flattened.json
2026-04-12 03:25:15.357 | INFO     | models.embedding.embedding_model:load_dataset:60 | Loaded 6500 records
2026-04-12 03:25:15.358 | INFO     | models.embedding.embedding_model:build_all:197 | Creating survey documents...
2026-04-12 03:25:15.411 | INFO     | models.embedding.embedding_model:build_all:199 | Survey documents: 12121
2026-04-12 03:25:15.412 | INFO     | models.embedding.embedding_model:build_all:201 | Creating backend documents...
2026-04-12 03:25:15.445 | INFO     | models.embedding.embedding_model:build_all:203 | Backend documents: 6500
2026-04-12 03:25:15.445 | INFO     | models.embedding.embedding_model:build_collection:144 | Building collection 'survey_collection' with 12121 documents...
2026-04-12 10:13:48.918 | INFO     | config.vector_db_config:get_embedding_function:23 | Loading embedding model: gemini-embedding-001
2026-04-12 10:13:55.906 | INFO     | config.vector_db_config:get_vector_store:49 | Loading vector store: collection='survey_collection', path='D:\GEN_AI_PROJECTS\5_Report_Generator\data\embeddings'
2026-04-12 10:13:56.073 | INFO     | utils.logger:wrapper:51 | 🔹 START — Hybrid retrieval
2026-04-12 10:13:56.113 | INFO     | utils.logger:wrapper:51 | 🔹 START — Vector retrieval
2026-04-12 10:13:57.416 | INFO     | services.retriever.vector_retriever:retrieve:65 | Retrieved 10 documents (filter: ['damaged_roads', 'potholes', 'broken_footpath', 'collapsed_bridge', 'damaged_flyover', 'bus_stop_infra', 'boundary_wall_damage', 'damaged_boundary_wall', 'cracked_building_wall', 'signboard_damage'])
2026-04-12 10:13:57.417 | SUCCESS  | utils.logger:wrapper:56 | ✅ DONE  — Vector retrieval (1.30s)
2026-04-12 10:13:57.418 | INFO     | services.retriever.hybrid_retriever:retrieve:68 | Filtered retrieval: 10 docs (categories: ['damaged_roads', 'potholes', 'broken_footpath']...)
2026-04-12 10:13:57.419 | INFO     | services.retriever.hybrid_retriever:retrieve:90 | Final result: 5 unique documents for 'Infrastructure' (survey)
2026-04-12 10:13:57.420 | SUCCESS  | utils.logger:wrapper:56 | ✅ DONE  — Hybrid retrieval (1.31s)
2026-04-12 10:18:00.722 | INFO     | config.vector_db_config:get_embedding_function:23 | Loading embedding model: gemini-embedding-001
